0	0	0	0	0	0	1	6	30	162	50	26391	
0	0	0	0	0	1	2	7	29	142	3820	22462	
0	0	0	0	0	0	1	6	27	135	3572	21044	
0	0	0	0	0	0	2	5	27	134	3445	35	
0	0	0	0	0	1	1	6	28	131	3333	
0	0	0	0	0	0	1	6	27	130	3317	
0	0	0	0	0	0	1	6	26	129	3206	
0	0	0	0	0	0	1	6	27	129	3176	
0	0	0	0	0	1	1	6	28	127	3286	
0	0	0	0	0	0	2	5	26	130	3198	
0	0	0	1	0	0	1	6	27	130	3399	
0	0	0	0	1	1	1	6	27	131	3390	
0	0	0	0	0	0	2	6	28	132	3327	
0	0	0	0	0	0	1	6	27	136	3387	
0	0	0	0	0	0	1	5	27	133	3441	
0	0	0	0	0	1	2	7	27	131	3439	
0	0	0	0	0	0	1	6	27	131	3434	
0	0	0	0	0	0	1	6	27	132	3415	
0	0	0	0	0	1	1	6	27	132	3429	
