0	0	0	0	0	0	2	20	129	807	4787	26391	
0	0	0	0	0	1	3	17	99	621	3798	22462	
0	0	0	0	0	1	3	16	97	592	3542	21044	
0	0	0	0	0	1	3	16	97	578	3422	35	
0	0	0	0	0	0	3	16	97	568	3304	
0	0	0	0	0	1	3	16	96	569	3286	
0	0	0	0	1	1	3	15	93	555	3197	
0	0	0	0	0	0	3	16	93	550	3175	
0	0	0	0	0	1	3	16	96	565	3271	
0	0	0	0	0	1	2	16	96	555	3200	
0	0	0	0	0	0	3	16	98	599	3370	
0	0	0	1	0	1	3	15	102	623	3388	
0	0	0	0	0	1	3	16	101	615	3331	
0	0	0	0	0	1	3	16	100	616	3397	
0	0	0	0	1	1	3	16	97	606	3433	
0	0	0	0	0	2	3	16	99	601	3438	
0	0	0	0	0	2	3	16	99	600	3431	
0	0	0	0	0	1	3	16	98	603	3422	
0	0	0	0	0	2	3	16	98	619	3413	
